nc_path,target_text
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-01/ifs_fc_sfc_0000_12_20200101.nc,"Valid 12Z Wed Jan 1 2020 - 12Z Fri Jan 3 2020

...Heavy rain returns to the Gulf Coast and heavy snow for the
northern Rockies...

Heavy rain and thunderstorms will be making a return to portions
of the Deep South and into the Tennessee River Valley to begin
2020.  There will be a deep surge of moisture from the western
Gulf of Mexico ahead of a longwave trough over Mexico and a warm
front lifting northward across the Gulf Coast region.  Current
indications suggest 2 to 4 inches of rainfall from Louisiana to
southern Tennessee, and there may be some instances of flooding
with a Slight Risk of excessive rainfall from WPC in effect for
parts of these areas.  A few strong to severe thunderstorms can
also be expected.

For the Pacific Northwest, a pair of cold fronts will make their
way inland with a surge of moisture off the Pacific.  The result
will be heavy rain for coastal areas of Washington and Oregon, and
heavy snow for the Olympics and Cascades.  The central and
northern Rockies will also be affected by these storm systems with
at least a foot of snow possible for the higher elevations of
northern Idaho and western Montana through Thursday morning.

Elsewhere across the continental U.S., lake effect snow is
expected downwind of Lake Erie and Lake Ontario as cold
northwesterly winds cross the warmer waters.  Mainly dry
conditions are expected across the Florida Peninsula, the Desert
Southwest, and the central Plains.  Much of the central and
eastern U.S. should begin the new year with temperatures near to
above normal, and near to below normal for the Rockies and parts
of the Intermountain West."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-01/ifs_fc_sfc_1200_12_20200101.nc,"Valid 00Z Thu Jan 02 2020 - 00Z Sat Jan 04 2020

...Heavy rains, isolated flash flooding and isolated severe
weather possible across the Lower Mississippi Valley and central
Gulf Coast...

...Above average temperatures expected across much of the
country....

...A powerful northeast Pacific storm will push a strong front,
high winds and heavy rains into the coastal Pacific Northwest by
late Friday...


An increasingly wet pattern taking shape the first few days of
2020 from eastern Texas, northeastward across the Lower
Mississippi Valley, central Gulf coast, Tennessee Valley, Ohio
Valley and into the Mid-Atlantic.  An amplifying mid to upper
level trof over the Southern Plains will transport above average
levels of moisture northeastward from Wednesday night through
Thursday, supporting the heavy rainfall potential across these
areas.  In addition to the heavy rains, there is slight risk of
severe weather and flash flooding Thursday across portions of the
Lower Mississippi Valley into the Central Gulf Coast associated
with this precipitation.

In addition to transporting above average levels of moisture
northeastward, the amplifying mid to upper level trof over the
Southern Plains will also support a broad region of above to much
above average temperatures from the mid section of the nation into
the east.  Above average temperatures also expected across much of
the west coast into the Great Basin.  The only exception to the
above average temperature regime across the nation will continue
to be through the Rockies and portions of the Southwest where
temperatures are expected to be slightly below average over the
next two days.

Tranquil weather will persist across much of the west coast this
period.   However, a powerful, rapidly deepening low over the
northeast Pacific late Thursday into Friday will push a strong
front toward the Pacific Northwest coast on Friday.  Strong winds
and heavy rains are possible along the Washington State and Oregon
coasts by Friday evening.

Happy New Year!"
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-02/ifs_fc_sfc_0000_12_20200102.nc,"Valid 12Z Thu Jan 2 2020 - 12Z Sat Jan 4 2020

...Heavy rain returns to the South and another storm system for
the Northwest...

Widespread moderate to heavy rain and thunderstorms have made a
return to the Gulf Coast region as a moisture rich disturbance
lifts northward from the Gulf of Mexico.  This feature will be
ahead of a longwave trough over Mexico and the High Plains, and a
warm front lifting northward across the Gulf Coast region will
provide additional instability for some strong to severe
thunderstorms.  The Storm Prediction Center has a Slight Risk of
severe thunderstorms across portions of Louisiana and Mississippi
for Thursday.  In terms of heavy rainfall, current indications
suggest the potential for 3 to 5 inches of rainfall from central
Mississippi to eastern Tennessee, and there will likely be some
instances of flash flooding where there are multiple rounds of
thunderstorm activity.  Flood watches are in effect for these
areas.

For the Pacific Northwest, heavy rain can be expected for coastal
areas of Washington and Oregon, and heavy snow for the Olympics
and Cascades.  By Friday night, a strong cold front approaches the
region with a powerful surface low crossing British Columbia.  The
result will be strong winds and high surf for the coastal areas,
and additional heavy precipitation can be expected for the Pacific
Northwest and northern Rockies as this front moves inland Saturday
morning.

Elsewhere across the continental U.S., mainly dry conditions are
expected across the Desert Southwest and extending eastward to the
central Plains.  Much of the central and eastern U.S. will have
temperatures that feel more like March instead of January ahead of
the cold front, and near to below normal for the Rockies and parts
of the Intermountain West."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-02/ifs_fc_sfc_1200_12_20200102.nc,"Valid 00Z Fri Jan 03 2020 - 00Z Sun Jan 05 2020

...A wet and mild pattern for large portions of the east over the
next 2 days...

...Flash flooding and severe weather possible Thursday night into
Friday across portions of the Lower Mississippi Valley, Tennessee
Valley and Southeast...

...A strong front will bring heavy precipitation and high wind
potential for large portions of the northwestern U.S. Friday into
Saturday...


The amplifying mid to upper level trof over the mid section of the
nation will keep wet conditions across a large portion of the
eastern U.S. over the next two days as much above average values
of moisture continue to stream northeastward across these areas. 
This will result in moderate to heavy amounts of rain from the
Lower Mississippi Valley..across the Gulf coast...Ohio and
Tennessee Valleys and into the Mid-Atlantic and Northeast.  Flash
flooding will continue to be a threat Thursday night into early
Friday across portions of the Lower Mississippi Valley into the
Tennessee Valley where some of the heaviest rainfall amounts are
expected. 

The precipitation ahead of the amplifying mid to upper level trof
over the mid section of the nation will be in the form of rain as
above average temperatures continue to dominate large sections of
the nation over the next two days.  There may be the potential for
record high minimum and maximum temperatures on Friday from
Florida into portions of the Southeast.  

A rapidly deepening area of low pressure off the Pacific Northwest
coast Friday will push a strong frontal boundary quickly eastward
into the Pacific Northwest Friday night and then across the
Northern Rockies into the Northern Plains by Saturday.  This front
will be accompanied by heavy lower elevations rains and higher
elevation snows across the Pacific Northwest Friday night into
early Saturday and heavy snows across the Northern Rockies on
Saturday.  In addition, high winds are likely across the Pacific
Northwest late Friday into Saturday as the front moves inland. 
These high winds will also be spreading inland into portions of
the Great Basin and into the lee of the Northern to Central
Rockies on Saturday."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-03/ifs_fc_sfc_0000_12_20200103.nc,"Valid 12Z Fri Jan 03 2020 - 12Z Sun Jan 05 2020

...Locally heavy rain and thunderstorms across the Central Gulf
Coast to the Carolinas today...

...Light to moderate snow expected for portions of the Midwest to
Northeast...

...Precipitation continues in the Pacific Northwest through the
weekend with high winds possible in the Northwest...

An upper-level trough over the central U.S. will move across the
eastern U.S. over the next couple of days, along with a couple of
fronts at the surface. Rain will spread across portions of the
East today as ample moisture streams in ahead of these features.
Locally heavy rainfall, isolated flash flooding, and a few strong
thunderstorms are possible across portions of the Southeast in
particular, and some rain will spread from the Lower Mississippi
Valley northeastward into the Ohio and Tennessee Valleys,
Mid-Atlantic, and Northeast. Temperatures will be mild today, with
record maximum temperatures in the 70s and 80s possible today in
Florida into the Georgia and Carolina coast.

A clipper system will track across the Midwest today, bringing
light to locally moderate snow to the Upper Mississippi Valley. As
upper-level energy continues eastward, snow is expected to spread
over the interior Northeast and higher elevations of the Central
Appalachians on Saturday. Snow totals of 3 to 5 inches are
currently forecast.

Farther west, a strong frontal system is forecast to push through
the Pacific Northwest Friday night and quickly southeastward
across the Rockies and Great Basin Saturday. This will lead to
increasing precipitation; higher elevation snow could be heavy in
the Cascades and Coastal Range with snow in the Northern Rockies
as well. Lower elevations should remain rain. High winds are also
likely in the West with a potent upper-level system and the
aforementioned front. High Wind Watches and Warnings and Wind
Advisories are currently in place for portions of the Pacific
Northwest and the Northern and Central High Plains."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-03/ifs_fc_sfc_1200_12_20200103.nc,"Valid 00Z Sat Jan 04 2020 - 00Z Mon Jan 06 2020

...Locally heavy rain and thunderstorms possible across the
Southeast today...

...Light to moderate snow expected for portions of the Midwest to
Northeast...

...Precipitation continues in the Pacific Northwest through the
weekend with high winds likely across the Northern High Plains...

An upper-level trough over the central U.S. will move across the
eastern U.S. over the next couple of days, along with a couple of
cold fronts at the surface. Rain will continue to spread across
portions of the East today as ample moisture streams ahead of
these features. Locally heavy rainfall, isolated flash flooding,
and a few strong thunderstorms are possible across portions of the
Southeast in particular. Temperatures will be mild this evening
into Saturday morning, with record high minimum temperatures in
the 60s and 70s possible tomorrow morning across Florida into the
Georgia and Carolina coast.

A weak clipper system will track across the Midwest today and
tonight, bringing light to locally moderate snow from southern
Minnesota to central Illinois. As upper-level energy continues
eastward, snow is expected to spread over the interior Northeast
and higher elevations of the Central Appalachians on Saturday.
Snow totals of 3 to 5 inches are currently forecast.

Farther west, a strong frontal system is forecast to push through
the Pacific Northwest tonight and move quickly southeastward
across the Rockies and Great Basin Saturday. This will lead to
heavy higher elevation snow in the Cascades, with snow in the
Northern Rockies as well. Lower elevations and coastal portions of
the Northwest should remain rain. High winds are also likely in
the Northwest with a potent upper-level system and the
aforementioned front. High Wind Watches and Warnings, as well as
Wind Advisories are currently in place for portions of the Pacific
Northwest and the Northern and Central High Plains.

By Sunday this system is forecast to enter the central U.S. and
bring gusty winds across the Midwest, with light snow across the
northern Great Lakes. Meanwhile, another round of rain and
mountain snow will enter the Pacific Northwest on Sunday."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-04/ifs_fc_sfc_0000_12_20200104.nc,"Valid 12Z Sat Jan 04 2020 - 12Z Mon Jan 06 2020

...Light to moderate snow expected for the Great Lakes and
interior Northeast...

...Precipitation continues in the Northwest through the weekend
with high winds likely across the Northern/Central High Plains...

An upper-level trough will move across the eastern U.S. today into
tonight, along with a couple of cold fronts at the surface. Ahead
of these features, precipitation will continue through the day for
portions of the Eastern Seaboard. Light rain is expected for
portions of the Mid-Atlantic, Carolinas, and Southeast.
Additionally, some light to moderate snow will spread across
portions of the Ohio Valley today and into the interior Northeast
on the backside of a strengthening surface low. Snowfall amounts
are forecast to be 4 inches to locally higher than 6 inches in the
Lower Great Lakes to the interior Northeast, with upslope flow
helping cause snow in the Central Appalachians as well. By Sunday,
another low system is expected to bring snow to the Upper Great
Lakes region, which will then spread into parts of the Northeast
again.

In the West, a strong frontal system is forecast to move quickly
southeastward across the Rockies and Great Basin today. This will
lead to heavy higher elevation snow in the Cascades, with snow in
the Northern Rockies as well. Lower elevations and coastal
portions of the Northwest should remain rain. High winds are also
likely, and High Wind Watches and Warnings as well as Wind
Advisories are currently in place for portions of the Pacific
Northwest and the Northern and Central High Plains. More rounds of
precipitation are possible in the Pacific Northwest by Sunday as
another front moves through.

Temperatures today will be around or above average in most
locations. Multiple record high minimum temperatures could be set
across the Eastern Seaboard this morning, with a few record high
maximum temperatures in jeopardy in Florida. Behind a relatively
strong cold front, temperatures will switch to below average in
Florida on Sunday, with temperatures back to near average across
much of the Eastern Seaboard."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-04/ifs_fc_sfc_1200_12_20200104.nc,"Valid 00Z Sun Jan 05 2020 - 00Z Tue Jan 07 2020

...Light to moderate snow expected for the Great Lakes and
interior Northeast...

...Precipitation continues in the Northwest through the weekend
with high winds likely across the Northern/Central High Plains...

An upper-level trough will move across the eastern U.S. tonight,
ushering in gusty winds and cooler temperatures on Sunday. Ahead
of this feature, precipitation will continue through the evening
across portions of the Eastern Seaboard. Light rain is expected
for portions of the Mid-Atlantic, Carolinas, and Southeast.
Additionally, some light to moderate snow will spread across
sections of the Ohio Valley today and into the interior Northeast
on the backside of a strengthening surface low. Snowfall amounts
are forecast to be around 4 inches to locally higher than 6 inches
in the Lower Great Lakes to the interior Northeast, with upslope
flow leading to snow in the Central Appalachians as well. By
Sunday, another low pressure system is expected to bring snow to
the Upper Great Lakes region, which will then spread into parts of
the Northeast on Monday.

In the West, a strong frontal system is forecast to move quickly
southeastward across the Rockies and Northern Plains tonight. This
will lead to higher elevation snow across the Northern Rockies.
High winds are also likely, and High Wind Watches and Warnings as
well as Wind Advisories are currently in place for portions of the
Northern Rockies and the Northern and Central High Plains. Peak
wind gusts around 50 to 65 mph are currently forecast. More rounds
of precipitation are possible in the Pacific Northwest by Sunday,
with heavier amounts possible by Monday.

Even with several cold fronts crossing the region, temperatures
are expected to remain near to slightly above average for much of
the country through Monday. The few exceptions, where temperatures
are forecast to fall below average to end the weekend, are Florida
and the central Rockies. High temperatures across Florida on
Sunday will remain in the 50s and 60s, which is 10 to 20 degrees
below normal for this time of year."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-05/ifs_fc_sfc_0000_12_20200105.nc,"Valid 12Z Sun Jan 05 2020 - 12Z Tue Jan 07 2020

...Multiple periods of precipitation are forecast for the
Northwest...

...Light to moderate snow expected for the Great Lakes and
interior Northeast...

An active weather pattern will continue for the northwestern U.S.,
with a cold front moving through today and a warm front
approaching on Monday. This will lead to rounds of precipitation
there, with locally heavy rainfall and localized flooding possible
in lower elevations by of the Pacific Northwest by Monday. Then in
higher elevations of the Cascades and Rockies, snowfall could be
measured in multiple feet.

A low pressure system will move across the Great Lakes region over
the next couple of days, so snow is likely to spread across the
Great Lakes and the interior Northeast. Snowfall of 3 to 6 inches
is forecast, with locally higher amounts. On the backside of this
frontal system, high winds are expected over parts of the Northern
and Central Plains into the Upper Mississippi Valley. High Wind
Warnings and Wind Advisories are in place for these areas. Other
windy areas are expected to be Piedmont east of the
Southern/Central Appalachians, as well as Southern California.

Most of the continental U.S. will have around or above average
temperatures over the next couple of days. Florida is expected to
be one cooler than average spot, where temperatures should remain
near or less than 70 degrees for highs. Then the Central Rockies
could be several degrees below average by Monday."
/home/manas/WeatherLMM/forecast_text_Cleaned_6months/forecast_text/2020-01-05/ifs_fc_sfc_1200_12_20200105.nc,"Valid 00Z Mon Jan 06 2020 - 00Z Wed Jan 08 2020

...Multiple rounds of precipitation are forecast for the Pacific
Northwest...

...Light to moderate snow expected for the Great Lakes and
interior Northeast tonight into Monday...

...Light snow possible from the southern Appalachians to the
Mid-Atlantic on Tuesday...

An active weather pattern will continue for the northwestern U.S.,
with a cold front moving through this evening and a warm front
approaching on Monday. This will lead to multiple rounds of
precipitation, with locally heavy rainfall and localized flooding
possible in the lower elevations of western Washington and
northwestern Oregon by Monday. Across higher elevations of the
Cascades and northern Rockies, snowfall could be measured in
multiple feet.

A low pressure system will move across the Great Lakes and
interior Northeast early this week, with snow likely to spread
across these regions between this evening and Monday. Snowfall of
2 to 4 inches is forecast, with locally higher amounts downwind of
Lake Erie and Lake Ontario. By Tuesday, a separate system will
approach the eastern U.S. and could bring a quick burst of snow
from the southern Appalachians to the Mid-Atlantic. Additional
lake effect snow is possible across the upper Great Lakes on
Tuesday as well.

Most of the continental U.S. will have near to above average
temperatures over the next couple of days. Florida is expected to
be one cooler than average spot, where temperatures should remain
near or less than 70 degrees for highs. The Central Rockies could
be several degrees below average on Monday also."
